"Keyword Phrase","ABA Total Click Share","ABA Total Conv. Share","Keyword Sales","Cerebro IQ Score","Search Volume","Search Volume Trend","H10 PPC Sugg. Bid","H10 PPC Sugg. Min Bid","H10 PPC Sugg. Max Bid","Sponsored ASINs","Competing Products","CPR","Title Density","Amazon Recommended","Sponsored","Organic","Sponsored Rank (avg)","Sponsored Rank (count)","Amazon Recommended Rank (avg)","Amazon Recommended Rank (count)","Position (Rank)","Relative Rank","Competitor Rank (avg)","Ranking Competitors (count)","Competitor Performance Score","B07ZTXD1R6","B004O0TJFY","B09K7Q6S7V","B0D9VC26D5","B00005U2FA","B08YY8PGVJ"
"wine vacuum pump and stopper",58.7,52.3,86,4765,1768,27,1.1,0.73,1.46,105,371,26,0,1,1,1,19,7,107,2,29,6,18.8,6,8,21,21,43,4,12,12
"wine bottle vacuum sealer pump",,,"-",28,282,5,,,,21,10000,8,1,1,1,1,6,4,145,6,13,4,19.8,6,8,5,5,54,3,26,26
"wine bottle air vacuum pump",,,"-",1081,280,21,,,,82,259,8,0,1,1,1,3,7,90,7,53,7,20,6,8,29,29,21,5,18,18
"vacu vin wine saver",,,"-",2603,354,-11,,,,20,136,8,2,1,1,1,2,4,166,6,10,5,20,6,8,1,1,82,20,8,8
"vacuum vin wine saver",,,"-",2430,345,11,,,,66,142,8,0,1,1,1,5,7,430,2,7,3,21,6,8,19,19,69,11,4,4
"wine vaccine pump stopper",,,"-",5081,188,-12,,,,17,37,8,0,1,1,1,6,5,86,2,1,1,21.8,6,8,26,26,34,5,20,20
"wine pump",40.6,43.4,83,935,1870,11,0.9,0.72,1.47,135,2000,30,10,1,1,1,13,7,57,7,46,7,22.8,6,8,15,15,39,2,33,33
"wine vacuum pump",53.3,55.6,18,1323,586,-21,1.05,0.73,1.4,79,443,9,10,1,1,1,6,7,48,7,33,4,23.3,6,8,34,34,42,6,12,12
"wine pump vacuum",,,"-",624,277,-21,1.12,0.93,1.44,87,444,8,0,1,1,1,9,7,28,5,24,4,23.7,6,8,41,41,35,5,10,10
"wine vacuum seal",,,"-",3,251,-15,,,,88,100000,8,0,1,1,1,29,7,201,3,10,4,23.8,6,8,3,3,93,6,19,19
"wine suction pump",,,"-",1118,123,-37,,,,31,110,8,0,1,0,1,0,0,112,5,42,7,24,6,8,29,29,41,3,21,21
"wine pump vacuum stoppers",44.7,43.3,67,3043,1059,-4,1,0.7,1.43,96,348,25,0,1,1,1,21,7,57,4,35,6,24.3,6,8,28,28,58,2,15,15
"wine air remover",,,"-",483,152,19,,,,50,315,8,1,1,1,1,16,5,155,3,1,1,24.3,6,8,35,35,27,7,21,21
"vacu vin stoppers",,,"-",2048,340,-16,1.16,0.73,1.37,71,166,8,0,1,1,1,4,6,147,5,18,6,24.7,6,8,8,8,97,15,10,10
"wine saver vacuum pump",,,10,1027,304,25,,,,67,296,8,8,1,1,1,5,7,57,7,25,4,24.8,6,8,42,42,36,5,12,12
"wine stoppers vacuum",38.5,46.2,93,1870,1870,-6,1,0.61,1.33,154,1000,28,4,1,1,1,11,7,104,2,19,6,25.2,6,8,5,5,103,2,18,18
"wine saver vacuum",,,"-",4,152,-30,,,,87,40000,8,9,1,1,1,14,6,229,1,14,2,25.3,6,8,25,25,52,8,21,21
"wine saver system",,,"-",440,149,45,,,,62,339,8,0,0,1,1,11,5,0,0,2,1,25.7,6,8,3,3,95,7,23,23
"wine savers vacuum pump",57,59,61,3664,1059,"-",1.13,0.78,1.56,88,289,25,0,1,1,1,8,7,58,4,25,4,25.8,6,8,36,36,41,4,19,19
"wine bottle stoppers vacuum",,,"-",2,177,-16,1.08,1.04,1.35,68,80000,8,0,1,1,1,7,4,471,1,1,1,26.2,6,8,4,4,72,7,35,35
"wine plunger",,,"-",1495,320,25,,,,78,214,8,0,1,1,1,5,7,173,4,21,2,26.7,6,8,40,40,35,3,21,21
"wine air remover pump",65,54.6,22,3359,561,-4,1.21,0.79,1.5,91,167,9,0,1,1,1,16,7,42,7,23,4,26.7,6,8,53,53,36,4,7,7
"wine savers",,,"-",53,159,3,,,,95,3000,8,1,1,1,1,11,7,162,2,1,1,27.2,6,8,3,3,101,2,27,27
"wine air pump",,,"-",260,136,-36,1.2,0.88,1.77,73,523,8,0,1,1,1,3,5,129,5,21,2,27.3,6,8,37,37,34,4,26,26
"vacuum wine stoppers for wine bottles",,,14,404,404,1,1.03,0.71,1.39,101,1000,8,0,0,1,1,11,7,0,0,1,1,27.7,6,8,8,8,89,5,28,28
"wine bottle air remover",,,"-",191,191,79,,,,57,1000,8,0,1,1,1,10,5,76,7,12,1,27.7,6,8,27,27,31,41,20,20
"repour wine saver 4 pack",85.7,62.5,8,4514,474,106,1.22,0.82,1.49,0,105,8,0,1,0,1,0,0,215,2,61,6,27.8,5,8,34,34,"-",7,32,32
"wine vacuum",50,50,14,87,523,17,1.08,0.85,1.43,101,6000,9,10,1,1,1,8,5,72,7,31,4,28.2,6,8,32,32,65,8,16,16
"wine saver",44.3,40.3,72,210,2101,-13,1.2,0.79,1.63,166,10000,34,22,1,1,1,10,7,59,7,8,4,28.2,6,8,2,2,111,4,25,25
"vacuvin wine stoppers",49.4,53.3,15,1302,880,-9,0.94,0.65,1.32,31,676,12,1,1,1,1,3,5,123,5,14,2,28.3,6,8,17,17,81,13,21,21
"wine airlock",43.1,38.5,13,1134,608,2,0.6,0.42,0.77,102,536,10,0,1,1,1,19,5,162,6,3,1,28.4,5,8,20,20,"-",46,28,28
"wine sealer for wine bottles",52.5,46.9,32,132,1059,-6,0.92,0.64,1.28,204,8000,27,4,1,1,1,15,7,10,2,1,1,28.6,5,8,53,53,"-",5,16,16
"vacuum wine stoppers",,,"-",194,194,35,1.17,0.79,1.53,77,1000,8,11,1,1,1,11,7,177,2,2,1,28.8,6,8,7,7,91,6,31,31
"vacuum wine stoppers with pump",62.3,54.3,35,1699,637,-13,1.07,0.76,1.48,49,375,10,0,1,1,1,9,7,133,5,19,2,29.2,6,8,39,39,52,3,21,21
"wine bottle preserver",,,"-",647,343,-24,,,,98,530,8,2,1,1,1,25,7,109,3,39,6,29.3,6,8,4,4,92,8,34,34
"wine seal",52,83.3,6,44,435,10,0.85,0.64,1.02,105,10000,8,0,1,1,1,25,4,112,7,2,1,29.8,5,8,5,5,"-",13,63,63
"wine plug",46.2,33.3,18,111,554,9,0.89,0.69,1.3,108,5000,9,1,1,1,1,24,6,147,5,48,4,29.8,5,8,18,18,"-",13,50,50
"wine cork stopper",29,26.3,57,311,1244,10,0.94,0.65,1.17,156,4000,26,0,1,1,1,11,5,195,5,5,1,30.2,5,8,13,13,"-",41,42,42
"wine bottle pump vacuum stopper",,,"-",1309,424,69,,,,67,324,8,0,1,1,1,22,7,68,5,27,4,30.3,6,8,39,39,53,3,24,24
"air cork wine preserver",,,"-",1084,335,-20,1.15,0.79,1.51,89,309,8,0,1,1,1,16,4,194,2,41,6,30.7,6,8,26,26,65,7,30,30
"rabbit wine sealer",,,"-",154,154,-31,,,,9,1000,8,0,1,0,1,0,0,126,1,24,3,30.8,5,8,16,16,42,"-",40,40
"wine bottle vacuum stopper",,,13,366,366,38,,,,74,1000,8,0,1,1,1,14,7,28,7,46,6,31,6,8,40,40,66,6,17,17
"wine preservation",,,"-",3,243,20,1.22,0.76,1.69,68,90000,8,18,1,1,1,7,6,293,3,2,1,31.2,6,8,3,3,103,20,29,29
"vacuum stopper for wine bottle",,,"-",184,184,-56,1.03,0.7,1.29,39,1000,8,0,0,1,1,13,7,0,0,13,4,31.7,6,8,6,6,83,9,43,43
"wine keeper",48,25,4,11,438,83,1.28,1,1.74,100,40000,8,1,1,1,1,26,6,147,5,1,1,31.7,6,8,4,4,91,11,40,40
"vacu vin rapid",,,"-",3844,173,45,,,,12,45,8,0,0,1,1,4,5,0,0,0,0,18,4,6.4,19,19,"-","-",17,17
"repour wine saver 10 pack",,,"-",4246,242,3,1.03,0.76,1.39,10,57,8,0,0,0,1,0,0,0,0,26,3,22.5,4,6.4,15,15,"-","-",30,30
"vacu vin wine chiller",,,"-",1442,284,"-",,,,17,197,8,0,0,1,1,3,2,0,0,0,0,28.5,4,6.4,19,19,"-","-",38,38
"vin",75,,"-",250,4991,-17,0.55,0.45,0.88,163,20000,43,39,0,1,1,7,6,0,0,0,0,30,4,6.4,33,33,"-","-",27,27
"coravin pivot",81.8,100,6,10612,520,-3,1.02,0.89,1.11,17,49,9,2,1,0,1,0,0,283,3,17,1,30.5,4,6.4,23,23,"-","-",38,38
"wine recorking kit",63.3,60,5,3386,491,37,1.4,1.08,1.74,84,145,9,0,1,0,1,0,0,120,4,2,1,6.7,3,6,4,4,"-",12,"-","-"
"wine preservation system",38.9,42.9,7,1668,537,-5,1.26,0.84,1.44,90,322,9,16,1,1,1,24,7,139,7,3,1,33.2,6,6,6,6,84,13,45,45
"repour wine saver",81.3,62.9,35,9484,1764,101,1.04,0.71,1.24,67,186,27,1,1,1,1,6,6,127,5,7,2,34.3,6,6,20,20,115,5,23,23
"vacuum wine preserver",,,"-",7,130,39,,,,58,20000,8,2,1,0,1,0,0,65,4,55,6,34.5,6,6,43,43,60,9,26,26
"coravin wine preservation system",71.5,55.6,18,24125,2509,-4,0.87,0.77,1.13,14,104,27,0,1,0,1,0,0,273,4,74,7,34.7,6,6,21,21,71,31,32,32
"coravin wine system",,,"-",3245,331,13,1.04,0.76,1.22,6,102,8,0,1,0,1,0,0,269,3,79,6,34.8,5,6,23,23,"-",30,49,49
"corvina wine preserver",65.9,66.7,3,5710,571,10,1.12,0.72,1.57,10,100,9,0,1,1,1,4,2,269,3,20,1,35,6,6,21,21,73,33,31,31
"wine preserver vacuum pump",57.9,28.6,7,2952,549,19,1.28,0.93,1.62,78,186,9,0,1,1,1,10,7,59,7,30,4,35,6,6,61,61,43,3,21,21
"vacu vin original wine saver",,,"-",2492,294,-9,,,,22,118,8,0,1,1,1,2,4,223,2,5,3,35.3,6,6,20,20,66,98,4,4
"wine pump stoppers",40.5,43.5,23,1265,544,28,,,,93,430,9,0,1,1,1,6,7,137,5,48,6,35.3,6,6,37,37,72,2,32,32
"wine resealer",67.8,44.4,9,4389,632,-2,1.07,0.73,1.38,95,144,10,0,1,1,1,8,6,98,7,49,4,36,6,6,4,4,93,7,54,54
"wine stopper vacuum",50,33.3,15,469,469,-4,1.19,0.82,1.51,80,1000,8,1,1,1,1,14,7,18,5,56,6,36.3,6,6,49,49,71,9,20,20
"corvin wine preserver",,,"-",1580,376,-5,0.89,0.62,1.5,21,238,8,0,0,1,1,3,3,0,0,18,1,37.2,6,6,19,19,99,30,28,28
"wine saver vacuum stoppers",58.6,42.9,14,729,481,13,1.3,0.88,1.64,108,660,9,4,1,1,1,12,7,174,5,47,6,38.5,6,6,46,46,85,8,23,23
"wine sealer",50,44.8,29,78,782,22,1.04,0.8,1.34,108,10000,11,8,1,1,1,11,6,83,7,59,6,39.2,5,6,58,58,"-",10,35,35
"coravin",62.2,57.9,38,58382,6422,5,0.79,0.76,1.2,65,110,33,3,1,1,1,8,3,254,5,95,6,39.4,5,6,37,37,"-",27,48,48
"vacuum wine sealer",,,"-",3,291,55,,,,83,100000,8,2,0,1,1,4,7,0,0,47,4,39.8,6,6,63,63,77,10,13,13
"wine bottle stopper vacuum",52,61.5,13,435,435,3,,,,113,1000,8,0,0,1,1,17,7,0,0,34,4,40.3,6,6,48,48,89,7,25,25
"vacuum sealed wine bottle stopper",,,"-",3,235,11,,,,81,70000,8,0,0,1,1,11,7,0,0,52,4,40.5,6,6,54,54,98,7,15,15
"plunger wine stopper",,,"-",715,313,-17,,,,97,438,8,0,0,1,1,7,7,0,0,1,1,41.8,6,6,17,17,140,3,37,37
"vacuum wine stopper",44.7,37,54,1059,1059,-8,0.95,0.64,1.31,87,1000,27,6,1,1,1,17,7,161,4,2,1,42.7,6,6,52,52,85,9,29,29
"private preserve wine preserver",86.7,83.3,18,6847,493,-9,1.17,0.72,1.46,32,72,9,0,1,1,1,6,4,265,3,13,1,43.3,6,6,46,46,73,29,33,33
"wine vacuum stopper",35.3,31.7,41,787,787,9,0.94,0.65,1.28,94,1000,11,2,1,1,1,8,7,111,6,2,1,43.5,6,6,49,49,80,9,37,37
"wine closer",46.2,22.2,9,1456,447,76,,,,128,307,8,0,1,1,1,12,7,181,7,57,4,43.7,6,6,7,7,108,8,66,66
"oxo wine stopper",93.5,89.5,19,1105,591,-1,1.12,0.74,1.34,5,535,9,0,1,0,1,0,0,158,5,24,3,45,6,6,20,20,67,65,49,49
"wine needle pourer preserver",,,3,3820,382,244,,,,0,100,8,0,1,0,1,0,0,352,2,3,1,45,6,6,18,18,66,44,62,62
"wine preserving system",,,"-",1838,261,19,,,,81,142,8,0,1,1,1,6,6,179,2,39,4,46.5,6,6,65,65,69,6,37,37
"pump saver",71.4,85.2,27,157,785,22,1.02,0.6,1.4,124,5000,11,24,1,1,1,13,6,54,1,81,6,46.6,5,6,59,59,"-",13,51,51
"wine bottle sealer",55.9,57.9,19,81,731,-3,0.96,0.66,1.26,125,9000,10,2,1,1,1,8,6,49,7,2,1,46.8,5,6,83,83,"-",14,27,27
"wine preserver",43.7,31.3,83,4280,2414,8,1.22,0.94,1.43,146,564,31,12,1,1,1,11,7,89,5,27,2,47.7,6,6,52,52,106,12,32,32
"wine dispenser and preserver",,,"-",1944,313,-1,,,,92,161,8,0,0,1,1,10,6,0,0,4,1,48.2,6,6,10,10,92,31,73,73
"wine balloon stopper",,,"-",335,126,-39,,,,42,376,8,0,0,1,1,3,4,0,0,5,1,48.2,5,6,17,17,"-",27,90,90
"cuisinart wine stopper",,,"-",332,171,36,,,,3,515,8,0,0,0,1,0,0,0,0,27,3,49.8,5,6,19,19,"-",45,83,83
"houdini wine stopper",,,"-",379,136,2,,,,0,359,8,0,1,0,1,0,0,165,5,6,1,50,5,6,55,55,"-",42,49,49
"rabbit wine stopper",,,"-",958,413,20,0.91,0.6,1.21,21,431,8,0,1,0,1,0,0,286,2,9,1,50,5,6,17,17,"-",30,93,93
"vacuum pump champagne stoppers",,,"-",83,330,13,,,,65,4000,8,0,0,1,1,14,6,0,0,45,4,16.3,3,4.8,20,20,"-",9,"-","-"
"wine plugs for bottles",,,"-",43,130,-26,1.2,0.76,1.51,108,3000,8,0,0,1,1,13,5,0,0,31,4,18.3,3,4.8,19,19,"-",17,"-","-"
"wine cap",37,28,25,69,617,-4,0.95,0.72,1.19,113,9000,10,1,1,1,1,13,2,234,4,5,1,21.3,3,4.8,17,17,"-",30,"-","-"
"wine stopper toppers",,,"-",110,110,10,,,,23,1000,8,0,0,0,1,0,0,0,0,20,2,24.3,3,4.8,28,28,"-",17,"-","-"
"wine stoppers & pourers",,,"-",198,198,11,1.15,0.85,1.6,57,1000,8,0,1,1,1,6,3,237,2,9,1,25.7,3,4.8,26,26,"-",25,"-","-"
"menu winebreather",,,"-",2262,337,7,,,,95,149,8,0,0,0,1,0,0,0,0,0,0,35,4,4.8,18,18,"-","-",52,52
"cilio wine bottle sealer",,,"-",1274,121,-2,,,,0,95,8,0,0,0,1,0,0,0,0,47,3,35.5,4,4.8,23,23,"-","-",48,48
"vacu fresh",,,"-",2277,148,-49,,,,39,65,8,0,0,0,1,0,0,0,0,0,0,36,4,4.8,45,45,"-","-",27,27
"wine airer",,,"-",1217,286,-3,,,,99,235,8,0,0,0,1,0,0,0,0,1,1,38,4,4.8,7,7,"-","-",69,69
"argon wine preserver",,,"-",2310,298,5,1.26,0.77,1.49,25,129,8,2,1,1,1,6,1,162,3,23,1,38.5,4,4.8,26,26,"-","-",51,51
"bad resealer",,,"-",2294,156,25,,,,18,68,8,0,0,0,1,0,0,0,0,0,0,42,4,4.8,32,32,"-","-",52,52
"pulltex wine stopper",,,"-",1216,399,49,,,,33,328,8,0,0,0,1,0,0,0,0,18,1,45,4,4.8,25,25,"-","-",65,65
"wine on the go kit",,,"-",1461,260,18,,,,97,178,8,0,0,0,1,0,0,0,0,0,0,46.5,4,4.8,14,14,"-","-",79,79
"oneida wine stoppers",,,"-",533,201,61,,,,18,377,8,0,0,0,1,0,0,0,0,9,1,47.5,4,4.8,11,11,"-","-",84,84
"wine topper",22.4,33.3,15,200,600,-1,0.96,0.72,1.32,120,3000,10,0,1,1,1,16,6,186,5,16,1,32.7,3,3.6,40,40,"-",18,"-","-"
"air lock wine",,,"-",417,417,17,,,,106,1000,8,0,0,1,1,12,7,0,0,16,1,33.7,3,3.6,37,37,"-",27,"-","-"
"cruise wine bottle sealer kit",76.9,75,12,455,455,35,0.7,0.52,0.91,85,1000,8,0,0,1,1,3,3,0,0,11,1,36,3,3.6,40,40,"-",28,"-","-"
"lecdoa wine stopper",96.4,87.5,"-","-",476,"-",,,,11,0,8,0,0,0,1,0,0,0,0,21,1,41.7,3,3.6,39,39,"-",47,"-","-"
"wine corks for wine bottles",,,"-",59,352,11,0.62,0.51,0.81,117,6000,8,7,0,0,1,0,0,0,0,39,2,42,3,3.6,46,46,"-",34,"-","-"
"reusable wine cork",44.4,54.5,11,231,462,-4,0.95,0.66,1.22,140,2000,8,0,1,1,1,8,2,161,3,9,1,43.3,3,3.6,45,45,"-",40,"-","-"
"champagne preserver",,,"-",744,157,54,,,,79,211,8,5,0,1,1,14,4,0,0,22,1,43.7,3,3.6,46,46,"-",39,"-","-"
"acoravin",,,"-",1228,140,19,1.17,0.87,1.51,0,114,8,0,0,0,1,0,0,0,0,100,4,48,3,3.6,"-","-","-",28,58,58
"champagne saver",63.4,50,16,285,569,3,1.03,0.74,1.34,67,2000,9,7,1,1,1,20,3,338,3,43,2,48,3,3.6,51,51,"-",42,"-","-"
"wine bottle accessories",,,"-",8,168,-21,1.03,0.74,1.26,139,20000,8,0,1,1,1,18,4,75,2,101,4,49,3,3.6,62,62,"-",23,"-","-"
